doc_id,req_i_idx,req_j_idx,req_i,req_j,cosine_sim,final_verdict,conflict_type,notes
2005 - clarus low,17,278,"ConOps §2.4 QChS, SS,  CAS   H  F- 101B1 The CAS shall be able to  configure schedules for executing QChS.",ConOps §4.5     H  I-033J1 QEDS shall be able to  accept a subscription  request.,0.537,NO,NONE,Confidence: 1.00 | Requirement A specifies that the 'CAS' system can configure schedules for 'QChS' execution. Requirem
2005 - clarus low,3,108,"First, the participants will be able to share  collected environmental data  with Clarus .",F-245 The Clarus  system shall accept  environmental data from railroad vehicles.,0.546,YES,OVERLAP,"Confidence: 0.90 | Requirement A states that 'participants' will be able to share environmental data with Clarus, imply"
2005 - clarus low,385,395,ID Requirement  Source Allocation Comment Criticality X- 20128 The Clarus  program shall  report successes and failures in data and information transmission to its contributors.,X- 20165 The Clarus  program shall  provide to contributors the limitation of liability for contributing environmental data and metadata.,0.624,NO,NONE,Confidence: 1.00 | Requirement A mandates reporting on the operational success or failure of data transmission. Require
2005 - clarus low,4,23,"Second, participants will be able to  receive environmental data  collected by Clarus .",ID Requirement  Source Allocation  - CAS Comment Criticality F-161 The Clarus  system shall be  able to implement quality checking rules for specific environmental situations.,0.505,NO,NONE,Confidence: 0.95 | Requirement A states that participants will receive environmental data collected by Clarus. Requirem
2005 - clarus low,309,419,F-141 The Clarus  system shall  allow human quality checks of observations.,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,0.571,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system shall allow human quality checks of observations. Req
2005 - clarus low,3,8,"First, the participants will be able to share  collected environmental data  with Clarus .","2.2 System Functions   The Clarus  system will collect data from contributing members, organize and  quality check the data, and then publish the data for use by service providers and  other members o",0.583,YES,OVERLAP,Confidence: 0.95 | Requirement A states that 'participants will be able to share collected environmental data with Clar
2005 - clarus low,164,174,L  F- 213E1 The EMC shall be configurable  to allow new observation types to be implemented as they become available.,H- 120E9 The EMC shall be able to  maintain a reference to additional metadata.,0.645,NO,NONE,Confidence: 1.00 | Requirement A specifies that the EMC must be configurable to adapt to new observation types. Require
2005 - clarus low,276,382,I-028J2 QEDS shall accept source  queries that are a list of Clarus  contributors  combined with a station identifier.,X- 20124 The Clarus  Initiative  Management Team shall agree upon the activities and products that will enhance public understanding/ communication of the contribution of the Clarus   program.,0.593,NO,NONE,Confidence: 1.00 | Requirement A describes a technical function of the QEDS system concerning the format of source quer
2005 - clarus low,9,298,The Clarus   system should be a data collection system capable of handling a vast range of data  in a flexible manner that permits new data types to be added.,F-111 The Clarus  system shall  provide environmental data quality flags.,0.613,NO,NONE,Confidence: 0.95 | Requirement A describes the Clarus system as a flexible data collection system capable of handling d
2005 - clarus low,298,317,F-111 The Clarus  system shall  provide environmental data quality flags.,ID Requirement  Source Allocation -  QChS Comment Criticality  F-162 The Clarus  system shall be  able to implement quality checking spatial tests using available data.,0.62,NO,NONE,"Confidence: 0.90 | Requirement A specifies that the system shall provide environmental data quality flags, indicating a"
2005 - clarus low,149,205,H  I-017D1 CS shall be able to extract  environmental data from an XML message that conforms to the Clarus  standard XML message  specification.,F-213 The Clarus  system shall  allow access to new surface transportation related observed environmental data.,0.53,NO,NONE,Confidence: 1.00 | Requirement A describes the capability of the 'H I-017D1 CS' system to extract environmental data fr
2005 - clarus low,16,388,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,X- 20132 The Clarus  Initiative  Management Team shall review and amend data and information sharing and use policies.,0.523,NO,NONE,Confidence: 0.95 | Requirement A describes a technical function performed by the 'Clarus system' related to data qualit
2005 - clarus low,257,416,I-017 The Clarus  system shall  employ industry standards to minimize implementation impact to users and providers.,Contract     H  X-805 Weather service providers  shall be able to use Clarus   data to provide localized special weather products.,0.531,NO,NONE,Confidence: 1.00 | Requirement A mandates the use of industry standards to minimize implementation impact. Requirement 
2005 - clarus low,84,399,F-200 The Clarus  system shall be able to  detect data submission errors.,MHI     H  X-209 The Clarus  program shall  provide an environment that has redundant communication for the  Clarus  system.,0.519,NO,NONE,"Confidence: 1.00 | Requirement A specifies that the Clarus system shall detect data submission errors, which relates to"
2005 - clarus low,389,419,X- 20139 The contributors shall have  the right to use the Clarus   system data and information for purposes delineated within the Clarus  Data  Sharing Agreement.,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,0.58,NO,NONE,Confidence: 1.00 | Requirement A grants data usage rights to 'contributors' under a specific agreement. Requirement B g
2005 - clarus low,272,346,I-027 The Clarus  system shall  enable environmental data queries by quality.,F-905 The Clarus  system shall log  data transactions.,0.552,NO,NONE,"Confidence: 1.00 | Requirement A describes the ability to query environmental data, specifically by quality. Requiremen"
2005 - clarus low,399,403,MHI     H  X-209 The Clarus  program shall  provide an environment that has redundant communication for the  Clarus  system.,OCS     H  X-225 The Clarus  program shall  provide a trained support staff.,0.547,NO,NONE,Confidence: 1.00 | Requirement A specifies a technical infrastructure detail (redundant communication for the system's 
2005 - clarus low,364,421,H  P-011 The Clarus  system shall be  able to publish environmental data at three times the volume rate that it collects it.,Inferred from ConOps  §2.5.5     L  X-825 The freight community shall  be able to use the Clarus   system to obtain environmental conditions.,0.527,NO,NONE,Confidence: 1.00 | Requirement A specifies a performance characteristic for the Clarus system regarding its data publis
2005 - clarus low,255,272,I-016 The Clarus  system shall  transfer data as efficiently as possible.,I-027 The Clarus  system shall  enable environmental data queries by quality.,0.627,NO,NONE,Confidence: 0.95 | Requirement A specifies a non-functional constraint regarding the efficiency of data transfer within
2005 - clarus low,151,261,I-017D3 CS that process comma separated  value ASCII text shall be able to dynamically parse environmental data that includes a descriptive header row conforming to the Clarus  collector standard mess,I-017J4 QEDS shall be able to  disseminate environmental data in comma separated value ASCII format.,0.61,NO,NONE,Confidence: 1.00 | Requirement A describes the ability of system 'I-017D3 CS' to *parse* (process as input) environment
2005 - clarus low,329,404,F-213 The Clarus  system shall  allow access to new  surface transportation related observed environmental data.,ConOps §3.3.1     H  X-232 The Clarus  program shall  define quality checking rules for environmental observations.,0.523,NO,NONE,Confidence: 1.00 | Requirement A describes allowing access to environmental data. Requirement B describes defining qual
2005 - clarus low,20,395,F-155 The Clarus  system shall be  able to implement quality checking rules for each environmental parameter.,X- 20165 The Clarus  program shall  provide to contributors the limitation of liability for contributing environmental data and metadata.,0.559,NO,NONE,Confidence: 1.00 | Requirement A specifies a technical capability for data quality assurance (implementing quality chec
2005 - clarus low,400,428,MHI     H  X-211 The Clarus  program shall  provide network management tools.,OCS     M  X-931 The Clarus  program shall  maintain information about service provider access to data.,0.595,NO,NONE,"Confidence: 1.00 | Requirement A specifies that the Clarus program shall provide 'network management tools', which refe"
2005 - clarus low,28,328,"Inferred from ConOps  §3.5.1.4 QChS,  CAS   H  F- 171B1 The CAS shall be able to  configure historical  environmental data to be used by quality checking processes.",M  F-175H1 QChS shall be  implemented for each defined standard quality checking algorithm.,0.558,NO,NONE,Confidence: 1.00 | Requirement A specifies that the CAS (likely a system or component) must be able to configure histor
2005 - clarus low,234,379,F-140 The Clarus  system shall  enable quality managers to review which quality checks passed or failed.,X- 20119 The Clarus  program shall  provide data and information statistics on its operation to contributors.,0.517,NO,NONE,Confidence: 1.00 | Requirement A specifies that quality managers can review the pass/fail status of quality checks. Req
2005 - clarus low,118,292,F-275 The Clarus  system shall accept  environmental data from emergency vehicles.,"ID Requirement  Source Allocation -  QChS Comment Criticality  F-100 The Clarus  system shall  collect, quality check, and disseminate environmental data.",0.587,YES,OVERLAP,Confidence: 0.90 | Requirement A states that the system shall 'accept' environmental data from emergency vehicles. Requ
2005 - clarus low,246,384,F-905 The Clarus  system shall log  data transactions.,X- 20127 The Clarus  program shall  determine its redistribution of shared data from contributors based upon Clarus  Data Sharing  Agreements.,0.53,NO,NONE,"Confidence: 1.00 | Requirement A specifies that the Clarus system shall log data transactions, which is a record-keepin"
2005 - clarus low,18,428,F-151 The Clarus  system shall  record the methods applied when deriving quality checking information.,OCS     M  X-931 The Clarus  program shall  maintain information about service provider access to data.,0.546,NO,NONE,Confidence: 1.00 | Requirement A specifies recording methods related to quality checking information. Requirement B spe
2005 - clarus low,301,394,F-115 The Clarus  system shall  provide notification of data quality conditions to data contributors.,"X- 20152 Any reference in the Clarus   Data Sharing Agreement to statutes, regulations and rules shall be a reference to the amended, substituted, replaced or re-enacted statute, regulations and rules",0.595,NO,NONE,Confidence: 1.00 | Requirement A specifies a functional capability of the Clarus system: providing data quality notific
2005 - clarus low,368,386,MHI     H  Q-013 The Clarus  system shall be  able to respond to 95% of all requests for environmental data 95% of the time.,X- 20129 The contributors shall report  periods of data and information outages to the  Clarus  program.,0.572,NO,NONE,Confidence: 1.00 | Requirement A specifies a performance and availability target for the Clarus system regarding enviro
2005 - clarus low,219,363,D-061 The Clarus  system shall  disseminate environmental data in response to polling.,OCS     H  X-801 The Clarus  program shall  alert users to system modifications.,0.571,NO,NONE,Confidence: 1.00 | Requirement A describes the system's capability to provide environmental data upon request (polling)
2005 - clarus low,368,384,MHI     H  Q-013 The Clarus  system shall be  able to respond to 95% of all requests for environmental data 95% of the time.,X- 20127 The Clarus  program shall  determine its redistribution of shared data from contributors based upon Clarus  Data Sharing  Agreements.,0.554,NO,NONE,Confidence: 1.00 | Requirement A defines a performance/availability constraint for the Clarus system concerning its abi
2005 - clarus low,237,341,L  F-213J1 QEDS shall be able to  disseminate new observation types as they become available.,"7) QChS,  QEDS   H  P-024H1 All QChS shall be  completed within twenty minutes of data being available for checking.",0.513,NO,NONE,Confidence: 1.00 | Requirement A states that the QEDS system must be capable of disseminating new *observation types* a
2005 - clarus low,292,339,"ID Requirement  Source Allocation -  QChS Comment Criticality  F-100 The Clarus  system shall  collect, quality check, and disseminate environmental data.",ID Requirement  Source Allocation -  QChS Comment Criticality  P-023H1 A QChS shall be able to  complete an automated quality check within ten seconds of when data is available for checking.,0.7,NO,NONE,"Confidence: 1.00 | Requirement A states that 'The Clarus system shall collect, quality check, and disseminate environme"
2005 - clarus low,184,199,H  F-401F1 EMS shall be able to provide  sensor equipment metadata in response to a request.,MHI     H  I-023F1 EMS responses shall include  metadata that meets the requested metadata query filtering specifications.,0.676,NO,NONE,Confidence: 0.95 | Requirement A states that the EMS shall be able to provide sensor equipment metadata in response to 
2005 - clarus low,171,174,H- 120E6 The EMC shall be able to  maintain an equipment list for each station.,H- 120E9 The EMC shall be able to  maintain a reference to additional metadata.,0.672,NO,NONE,Confidence: 1.00 | Requirement A specifies maintaining an 'equipment list for each station'. Requirement B specifies ma
2005 - clarus low,310,328,ID Requirement  Source Allocation -  QChS Comment Criticality  F-141H1 QChS shall implement a  manual override to set quality flags.,M  F-175H1 QChS shall be  implemented for each defined standard quality checking algorithm.,0.664,NO,NONE,"Confidence: 1.00 | Requirement A specifies a 'manual override to set quality flags,' indicating the need for human inte"
2005 - clarus low,114,179,F-261 The Clarus  system shall accept  environmental data from service patrol vehicles.,D-091 The Clarus  system shall  disseminate data using standard Internet protocols.,0.653,NO,NONE,Confidence: 1.00 | Requirement A describes the system's ability to ingest data (accept environmental data from vehicles
2005 - clarus low,9,290,The Clarus   system should be a data collection system capable of handling a vast range of data  in a flexible manner that permits new data types to be added.,P-031 The Clarus  system shall be  able to handle three hundred simultaneous requests for environmental data.,0.674,NO,NONE,"Confidence: 1.00 | Requirement A specifies the overall capabilities of the system regarding data variety, flexibility, "
2005 - clarus low,73,194,I-032 The Clarus  system shall manage  environmental data and metadata according to the Clarus  data  sharing agreements.,Task Force     I-016 The Clarus  system shall  transfer data as efficiently as possible.,0.667,NO,NONE,"Confidence: 0.90 | Requirement A focuses on policy and governance for data management, ensuring adherence to data shari"
2005 - clarus low,410,421,Inferred from ConOps  §4.3     M  X-305 The Clarus  program shall  maintain a comprehensive Clarus  system test  environment.,Inferred from ConOps  §2.5.5     L  X-825 The freight community shall  be able to use the Clarus   system to obtain environmental conditions.,0.745,NO,NONE,"Confidence: 1.00 | Requirement A specifies the need for a comprehensive test environment for the Clarus system, which i"
2005 - clarus low,92,101,F-213 The Clarus  system shall allow  access to new surface transportation-related observed environmental data.,F-223 The Clarus  system shall process  data as they are received.,0.681,NO,NONE,"Confidence: 1.00 | Requirement A describes the capability to allow access to new environmental data, focusing on the ex"
2005 - clarus low,22,30,F- 155B2 The CAS shall enable  administrators to manage quality checking rules.,M  F- 175B1 The CAS shall be able to  configure multiple algorithms to be used in the quality checking process.,0.686,NO,NONE,"Confidence: 1.00 | Requirement A describes the administrative capability to manage (create, edit, delete) quality check"
2005 - clarus low,213,315,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,F-161 The Clarus  system shall be  able to implement quality checking rules for specific environmental situations.,0.691,NO,NONE,Confidence: 1.00 | Requirement A describes the system's ability to respond to queries for environmental data. Requireme
2005 - clarus low,3,31,"First, the participants will be able to share  collected environmental data  with Clarus .",F-213 The Clarus  system shall  allow access to new surface transportation-related environmental data.,0.663,NO,NONE,Confidence: 1.00 | Requirement A describes the ability for participants to *share* environmental data *with* Clarus (da
2005 - clarus low,92,99,F-213 The Clarus  system shall allow  access to new surface transportation-related observed environmental data.,F-222 The Clarus system shall minimize  the time for data acquisition.,0.715,NO,NONE,Confidence: 1.00 | Requirement F-213 specifies the type of data the Clarus system must allow access to (new surface tra
2005 - clarus low,3,134,"First, the participants will be able to share  collected environmental data  with Clarus .","H-301 The Clarus  system shall be able to  acquire, process, and disseminate  environmental data from across  North America.",0.665,NO,NONE,Confidence: 0.95 | Requirement A describes the capability of participants to share data with Clarus. Requirement B desc
2005 - clarus low,98,110,"Task Force  review CS Changed from ""The Clarus  system shall  be able to retrieve environmental data directly from environmental sensor stations."" L  F-221D1 CS shall be able to retrieve  environmenta",F-251 The Clarus  system shall accept  environmental data from (roadway) vehicles.,0.746,NO,NONE,Confidence: 1.00 | Requirement A states the system shall retrieve environmental data directly from environmental sensor
2005 - clarus low,58,344,F-141 The Clarus  system shall allow  human quality checks of environmental data.,F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,0.717,NO,NONE,Confidence: 0.95 | Requirement B mandates the system to implement automated quality checking processes immediately upon
2005 - clarus low,23,58,ID Requirement  Source Allocation  - CAS Comment Criticality F-161 The Clarus  system shall be  able to implement quality checking rules for specific environmental situations.,F-141 The Clarus  system shall allow  human quality checks of environmental data.,0.659,NO,NONE,Confidence: 1.00 | Requirement A specifies the capability to implement automated quality checking rules for specific en
2005 - clarus low,23,311,ID Requirement  Source Allocation  - CAS Comment Criticality F-161 The Clarus  system shall be  able to implement quality checking rules for specific environmental situations.,F-151 The Clarus  system shall  record the methods applied when deriving quality checking information.,0.656,NO,NONE,Confidence: 0.95 | Requirement A specifies that the Clarus system must be able to implement quality checking rules for 
2005 - clarus low,73,298,I-032 The Clarus  system shall manage  environmental data and metadata according to the Clarus  data  sharing agreements.,F-111 The Clarus  system shall  provide environmental data quality flags.,0.721,NO,NONE,"Confidence: 0.95 | Requirement A describes the overarching function of managing environmental data and metadata, along "
2005 - clarus low,255,290,I-016 The Clarus  system shall  transfer data as efficiently as possible.,P-031 The Clarus  system shall be  able to handle three hundred simultaneous requests for environmental data.,0.675,NO,NONE,"Confidence: 0.95 | Requirement A focuses on the efficiency of data transfer, aiming for optimal resource utilization an"
2005 - clarus low,213,288,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,P-025 The Clarus  system shall  respond to a request for information within one minute.,0.716,NO,NONE,Confidence: 1.00 | Requirement A defines a functional capability: the system shall respond to queries for environmental
2005 - clarus low,311,325,F-151 The Clarus  system shall  record the methods applied when deriving quality checking information.,ID Requirement  Source Allocation -  QChS Comment Criticality  F-171 The Clarus  system shall be  able to base its quality checking process on historical environmental data.,0.691,NO,NONE,Confidence: 1.00 | Requirement A mandates recording the *methods* used for deriving quality checking information (focus
2005 - clarus low,163,342,ID Requirement  Source Allocation  - EMC Comment Criticality F-213 The Clarus  system shall allow  access to new surface transportation related observed  environmental data.,ID Requirement  Source Allocation  - SS Comment Criticality D-051 The Clarus  system shall  disseminate data in response to a scheduled request.,0.742,NO,NONE,Confidence: 0.95 | Requirement A specifies that the Clarus system must enable access to a particular type of data ('new
2005 - clarus low,37,138,ID Requirement  Source Allocation  - CAS Comment Criticality F-811 The Clarus  system shall be  able to restrict environmental data publication based on source.,ID Requirement  Source Allocation -  CS Comment Criticality I-012 The Clarus  system shall be able to  communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,0.699,NO,NONE,Confidence: 1.00 | Requirement A specifies the ability to control or restrict the publication of environmental data bas
2005 - clarus low,90,101,F-211 The Clarus  system shall be able to  receive roadway weather measurements derived from VII data.,F-223 The Clarus  system shall process  data as they are received.,0.682,NO,NONE,Confidence: 1.00 | Requirement A specifies the capability to receive a particular type of data (roadway weather measure
2005 - clarus low,118,309,F-275 The Clarus  system shall accept  environmental data from emergency vehicles.,F-141 The Clarus  system shall  allow human quality checks of observations.,0.689,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system must accept environmental data from emergency vehicle
2005 - clarus low,98,138,"Task Force  review CS Changed from ""The Clarus  system shall  be able to retrieve environmental data directly from environmental sensor stations."" L  F-221D1 CS shall be able to retrieve  environmenta",ID Requirement  Source Allocation -  CS Comment Criticality I-012 The Clarus  system shall be able to  communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,0.696,YES,CONTRADICTION,Confidence: 0.95 | Requirement A states that 'The Clarus system shall be able to retrieve environmental data *directly*
2005 - clarus low,16,163,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,ID Requirement  Source Allocation  - EMC Comment Criticality F-213 The Clarus  system shall allow  access to new surface transportation related observed  environmental data.,0.69,NO,NONE,Confidence: 0.95 | Requirement A mandates quality checking processes upon data availability. Requirement B mandates all
2005 - clarus low,203,424,ID Requirement  Source Allocation  - QEDC Comment Criticality F-111 The Clarus  system shall  provide environmental data quality flags.,ID Requirement  Source Allocation Comment Criticality X-910 The Clarus  program shall  maintain metadata about each data provider's network.,0.718,NO,NONE,"Confidence: 1.00 | Requirement A specifies that the Clarus system shall provide environmental data quality flags, which"
2005 - clarus low,198,244,I-023 The Clarus  system shall  respond to queries for environmental metadata from the available metadata.,F-811 The Clarus  system shall be  able to restrict  environmental data publication based on source.,0.712,NO,NONE,Confidence: 0.95 | Requirement A states that the Clarus system shall respond to queries for environmental metadata from
2005 - clarus low,53,234,F-111 The Clarus  system shall provide  environmental data quality flags.,F-140 The Clarus  system shall  enable quality managers to review which quality checks passed or failed.,0.691,NO,NONE,Confidence: 0.95 | Requirement A mandates the system to *provide environmental data quality flags*. This focuses on the
2005 - clarus low,92,348,F-213 The Clarus  system shall allow  access to new surface transportation-related observed environmental data.,I-016 The Clarus  system shall  transfer data as efficiently as possible.,0.678,NO,NONE,Confidence: 1.00 | Requirement A defines a functional capability: allowing access to a specific type of data. Requireme
2005 - clarus low,198,355,I-023 The Clarus  system shall  respond to queries for environmental metadata from the available metadata.,D- 011A4 Clarus  hosts shall be able to  aggregate environmental data from other Clarus   hosts.,0.72,NO,NONE,Confidence: 0.95 | Requirement A describes the Clarus system's ability to respond to queries for environmental *metadat
2005 - clarus low,234,338,F-140 The Clarus  system shall  enable quality managers to review which quality checks passed or failed.,P-023 The Clarus  system shall be  able to complete an automated quality checking check of environmental data within ten seconds of data receipt.,0.676,NO,NONE,Confidence: 1.00 | Requirement A specifies that quality managers can review the results of quality checks. Requirement 
2005 - clarus low,262,428,I-021 The Clarus  system shall  allow service providers to select specific desired datasets.,OCS     M  X-931 The Clarus  program shall  maintain information about service provider access to data.,0.693,NO,NONE,Confidence: 1.00 | Requirement A specifies that the system must allow service providers to select desired datasets. Req
2005 - clarus low,302,330,H  F-115H1 A QChS shall evaluate data  quality conditions.,L  F-213H1 QChS shall be  implemented to quality check new observation types as they become available.,0.756,NO,NONE,Confidence: 0.95 | Requirement A specifies that 'H F-115H1 A QChS' shall evaluate general 'data quality conditions'. Re
2005 - clarus low,221,288,D-071 The Clarus  system shall  disseminate data in response to a change notification request.,P-025 The Clarus  system shall  respond to a request for information within one minute.,0.758,NO,NONE,Confidence: 1.00 | Requirement A describes a push-based data dissemination mechanism triggered by a change notification
2005 - clarus low,31,163,F-213 The Clarus  system shall  allow access to new surface transportation-related environmental data.,ID Requirement  Source Allocation  - EMC Comment Criticality F-213 The Clarus  system shall allow  access to new surface transportation related observed  environmental data.,0.781,YES,OVERLAP,Confidence: 0.95 | Requirement B is a more specific version of Requirement A. Requirement A specifies access to 'enviro
2005 - clarus low,54,56,"OCS QChS,  CAUI, QEDC   H  F-111C1 The CAUI shall enable a quality  manager to apply manual flags to a set of observations from an individual ESS.",F-111C3 The CAUI shall enable a quality  manager to apply manual flags to a set of observations over a fixed time range.,0.76,NO,NONE,Confidence: 1.00 | Requirement A specifies that the 'set of observations' originates 'from an individual ESS'. Requirem
2005 - clarus low,110,120,F-251 The Clarus  system shall accept  environmental data from (roadway) vehicles.,F-281 The Clarus  system shall be able to  receive weather data from weather service providers.,0.771,NO,NONE,Confidence: 1.00 | Requirement A describes the system accepting environmental data specifically from (roadway) vehicles
2005 - clarus low,381,414,"ID Requirement  Source Allocation Comment Criticality X- 20121 The Clarus  program shall  inform contributors of the ""acceptance and use"" of their data and information.","ID Requirement  Source Allocation Comment Criticality X-605 The Clarus  program shall  operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal",0.775,NO,NONE,Confidence: 1.00 | Requirement A describes a specific communication feature: informing data contributors about the acce
2005 - clarus low,213,219,I-022 The Clarus  system shall  respond to queries for environmental data from the  available data.,D-061 The Clarus  system shall  disseminate environmental data in response to polling.,0.792,YES,OVERLAP,Confidence: 0.95 | Requirement A states that the system shall 'respond to queries for environmental data'. Requirement 
2005 - clarus low,77,130,"ID Requirement  Source Allocation -  CS Comment Criticality F-100 The Clarus  system shall collect,  quality check, and disseminate environmental data.","ID Requirement  Source Allocation -  CS Comment Criticality H-151 The Clarus  system shall accept  only observations that include location, timestamp, and source metadata.",0.805,NO,NONE,"Confidence: 1.00 | Requirement A describes the broad functionality of the Clarus system to collect, quality check, and "
2005 - clarus low,231,374,ID Requirement  Source Allocation -  QEDS Comment Criticality  F-115 The Clarus  system shall  provide notification of data quality conditions to data contributors.,ID Requirement  Source Allocation Comment Criticality X- 20113 The contributors shall  identify and define the types of data and information that will be included in the Clarus Data Sharing  Agreement,0.851,NO,NONE,Confidence: 1.00 | Requirement A specifies that the Clarus system will provide notifications about data quality to data
2005 - clarus low,16,317,ID Requirement  Source Allocation  - CAS Comment Criticality F-101 The Clarus  system shall  implement quality checking processes as soon as data become available.,ID Requirement  Source Allocation -  QChS Comment Criticality  F-162 The Clarus  system shall be  able to implement quality checking spatial tests using available data.,0.832,NO,NONE,"Confidence: 0.95 | Requirement A mandates that quality checking processes occur 'as soon as data become available,' est"
2005 - clarus low,419,420,Inferred from ConOps  §2.5.7     L  X-821 Traffic management  personnel shall be able to use the Clarus  system to  obtain environmental conditions.,Inferred from ConOps  §2.5.3     L  X-823 Transit personnel shall be  able to use the Clarus   system to obtain environmental conditions.,0.947,YES,OVERLAP,Confidence: 0.90 | Both requirements describe the exact same system functionality: 'use the Clarus system to obtain env
2005 - microcare,48,60,− The VSP will send the collected claim forms  monthly and send it to MSIU  field office.,VSP Name (as the report header and below as the details part of report)    Claim No  Date  Date of System Entry  Amount  Status  Remarks    Cumulative Total Amount will show in R eport footer for the ,0.602,NO,NONE,Confidence: 0.90 | Requirement A describes an action: the VSP sending collected claim forms monthly to a specific offic
2005 - microcare,20,49,• The will be a provision to create a minimum quantity of vouchers at one time  (such minimum numbers will be decided by the management team).,Voucher Service Provider (VSP) Master Information      The VSP master will have the following information:     o VSP Code  o Providers Name  Copyri ght © 2005 by M icrocare Lt d  Software  Requirement,0.506,NO,NONE,"Confidence: 1.00 | Requirement A specifies a functional constraint regarding the creation of vouchers, specifically a m"
2005 - microcare,31,54,New (adding new records)  Edit (updating available records)  Delete  (deleting will be allowed only if no child records are created)  Copyri ght © 2005 by M icrocare Lt d  Software  Requirement Specif,Copyri ght © 2005 by M icrocare Lt d  Software  Requirement Specification for VMUS (Voucher Management Unit System)                              Page 18 of 33  The system will populate Active VSP onl ,0.692,NO,NONE,"Confidence: 1.00 | Requirement A defines core CRUD operations (New, Edit, Delete) for records, with a specific constrai"
2005 - microcare,37,67,Distribution Transactions (Sal es from MSIU to Distributor)      Copyri ght © 2005 by M icrocare Lt d  Software  Requirement Specification for VMUS (Voucher Management Unit System)                    ,Date of submission should be current date  Copyri ght © 2005 by M icrocare Lt d  Software  Requirement Specification for VMUS (Voucher Management Unit System)                              Page 21 of 3,0.756,NO,NONE,Confidence: 1.00 | Requirement A describes a functional aspect related to 'Distribution Transactions (Sales from MSIU t
2005 - microcare,37,57,Distribution Transactions (Sal es from MSIU to Distributor)      Copyri ght © 2005 by M icrocare Lt d  Software  Requirement Specification for VMUS (Voucher Management Unit System)                    ,Copyri ght © 2005 by M icrocare Lt d  Software  Requirement Specification for VMUS (Voucher Management Unit System)                              Page 19 of 33  The system will control the payment proc,0.825,NO,NONE,"Confidence: 1.00 | Requirement A specifies 'Distribution Transactions (Sales from MSIU to Distributor)', describing a s"
2005 - pontis,111,169,UC-14 Create/Edit Projects  14.1 The user shall be able  to create new pr ojects by manually entering the  project  information.,22.15 The adminis trator shall be able to add custom project lists.,0.554,NO,NONE,Confidence: 1.00 | Requirement A describes the ability for a user to create individual projects by manually entering in
2005 - pontis,109,111,4.5 PROJECT & PROGRAM DEVELO PMENT   UC-13 Create/Edit Programs  13.1 The user shall be able t o create ne w programs by manually entering program  information.,UC-14 Create/Edit Projects  14.1 The user shall be able  to create new pr ojects by manually entering the  project  information.,0.631,NO,NONE,"Confidence: 1.00 | Requirement A describes the ability to create 'programs', while Requirement B describes the ability "
2005 - pontis,94,95,Pontis 5.0    Functional Requirements Specification v1 .0  7.7 The system shall be capable of recoveri ng the model if the elicitation process   fails.,"7.8 The system shall be capable of restorin g the previous action costs, transition   probab ilities , and preser vation polic y.",0.502,YES,OVERLAP,Confidence: 0.90 | Requirement A specifies the capability to 'recover the model' if the elicitation process fails. Requ
2005 - pontis,139,153,19.2 The adminis trator shall be able to as sign users to  application roles.,21.8 The syste m shall be capable of operatin g with a single-sign-on authentic ation  mechanism based on Active Director y Services or the LDAP standard.23  UC-22 Configur e Application Functionaliti,0.547,NO,NONE,Confidence: 1.00 | Requirement A describes the functionality for an administrator to assign users to application roles 
2005 - pontis,82,96,7.4 The syste m shall be capable of calculat ing Struct urally Defic ient/Functionally  Obsolete (SD/FO) statu s.,7.9 The syst em shall be ca pable of support ing multip le cost and deterioration   models.,0.568,NO,NONE,Confidence: 0.95 | Requirement A specifies the capability to calculate a specific status (SD/FO). Requirement B specifi
2005 - pontis,19,49,Pontis 5.0 must provide well-defined and do cumented access to selected  product fun ctionality and data for third-party developers.,3.4 The system shall provide the ability to  incorporate PDF files into standard  Pontis reports.,0.526,NO,NONE,Confidence: 1.00 | Requirement A specifies the need for an external API/interface for third-party developers to access 
2005 - pontis,59,144,5.6 The system shall support storage an d managem ent of information for bridges   in a de sign or preconstruction state  (functional requirement is related  to 4.5  above)  5.7 The user shall be able,20.3 The adminis trator shall be able to create bridge-level access filters.,0.516,NO,NONE,Confidence: 1.00 | Requirement A specifies the system's capability to store and manage information related to bridges. 
